Ind	TraitV
775	-1.72746986356294
2166	0.409522430588093
2167	-0.648626326740878
2465	0.093949193694022
3881	-0.28248061800298
3889	0.626475866613394
3895	-0.313592402708806
4248	-0.424040504150233
5131	-1.78926308281999
6387	-1.6176229866022
12867	-0.269196721319189
13098	-0.18989837665605
13302	-0.207637663175665
13350	-0.653651297663665
13396	-0.633823547158509
13421	0.142933167173087
13469	-0.19470817250154
13569	-0.359614554535648
13728	-0.851409851058217
13767	0.323091664980393
13954	-0.488896803919414
14103	-0.862459724145355
14431	0.221041720232341
15200	-1.95357456905216
15292	-0.236205319026375
16004	-0.274386237889321
16122	8.85592407896116e-05
16262	0.0692673465921665
19627	1.31091614410531
19630	0.417907929923979
20010	0.398352312604817
20424	-0.273025571959347
20585	-2.87368218561558
20934	-0.381543426383834
27001	-0.362196655463227
30709	-1.05942086401815
31089	-1.40643497691274
39359	-1.41373194350465
41263	-0.360525884274794
41418	-0.382226923688194
41471	1.42230089000086
41484	1.06162948837658
41542	-0.0595212658495608
41660	-0.0351748387211427
41669	-0.608920196300613
41686	-0.699363344232049
41709	-0.763377929728269
41761	-0.122630850285381
41800	-0.409668074722461
41804	0.0687610522926424
41948	0.439381136902592
42066	-0.483403510769565
42076	-0.347343246450906
42083	-0.906349111235448
42174	0.105916725199048
42237	-0.283486877923287
42274	-0.134206003708276
43154	0.231060018684196
43789	-0.1226624936791
60900	-2.37909594176688
62114	0.199353338176429
62150	1.04326999134004
62221	0.921942891137569
62256	-0.0993033404347555
62526	-0.281411071295233
62576	-0.956484904245933
62587	-0.2819806523822
62603	0.561208202725849
62627	-0.126193896418289
62633	-0.455272533752196
64869	1.25103418582896
64873	-0.27618991133138
65038	-0.254286354198171
65315	-0.674903000886236
67055	-0.462949221068746
67929	-0.305187917336688
68052	0.324477645625344
68460	-0.613211040489088
70761	0.175949884180875
76718	-0.704198454792515
77128	0.24389457917716
77205	-0.404472229473584
77230	-0.823797825697861
77246	-0.60131945312899
77310	-1.15288912038925
77331	-0.0823677961156372
77534	-0.271449730952075
77587	-0.194784116646469
78690	-2.82463492534907
80506	-0.323319581938434
80662	-2.28353289273149
80836	-0.853498315043759
82710	-2.27878638367344
83123	0.125795105134158
85244	-0.122776409896493
85331	-0.596522314640988
85465	-0.397833445471059
85587	0.350412571118523
85599	-0.188487081296124
85637	-0.721330188152699
85646	0.134471723692271
85676	-0.0789629669513297
85685	-0.0726089734922892
85711	-0.539981898741509
85741	-0.0716596716806794
85786	0.411269145921455
85888	-0.904899843803057
85899	0.224332633179254
86162	0.0174228103207836
86230	-0.516464528528562
86394	0.938777176596784
86490	-0.269576442043832
86783	-0.641728066909847
86954	0.289859772895306
87107	-2.23923214152304
87507	1.18673480978926
88809	-0.443589792790651
89242	-0.312940548798167
89491	-0.151331408389716
89762	0.310769727465699
92207	-0.0301245530833775
96413	0.853017250935956
96458	-2.26138251712726
96495	-0.67677628979448
96501	0.43950138179873
96619	-0.716438119483537
96638	0.639171196173989
97120	-0.581630933556202
97127	-0.705502162613792
97487	-0.580934778894355
103122	-2.63002805396907
106657	-1.09690562821925
106844	-1.3169537881504
106875	0.286360013549839
107017	0.0133218264946294
107052	-0.595478082648216
107059	-0.729842261063468
107066	-0.504933675856876
107103	-0.467442582977032
107131	-1.60873752164553
108014	0.0753618642227022
126114	-0.137661462302535
126308	-2.721002810915
126309	-2.18622945704149
130562	-2.24951624448214
133128	-0.376005832482778
143023	-2.28115963820247
143058	-0.784990367639252
143067	-2.17594535408238
143808	-2.25980034744125
143844	-2.06756673059027
143989	0.273468494948177
144880	-0.312149463955159
167864	-0.597465287773854
168060	-0.734367266365474
168154	-1.12854902193958
168524	0.017365852212088
168614	-0.92648063832032
168912	-2.34681968017215
168924	-2.01772838548075
168928	0.175114498586659
168939	-1.98133848270238
168945	0.644746762147511
168979	-0.979825071454046
169164	-2.12101875126264
170744	-2.52718702437801
170862	-0.578928587732487
214589	-0.398048620548357
217385	2.11173449502184
217451	-2.33337123784101
217562	-2.07231323964831
217726	-0.766459996276629
217743	-0.251653623840638
217748	0.423875873979633
217754	-0.909152715919069
217777	-1.06887591006179
218554	0.00270230356208855
218794	-0.544956240234345
220384	-2.77400549539655
220399	-2.94962633054436
222490	-0.653898116134684
